14:48:46 : PLCDI Error  :Sockethasbeendisconnected
14:50:49 : PLCDI Error  :Nosocketerror
14:50:50 : PLCDI Error  :Nosocketerror
14:50:51 : PLCDI Error  :Nosocketerror
14:50:52 : PLCDI Error  :Nosocketerror
14:50:53 : PLCDI Error  :Nosocketerror
14:50:54 : PLCDI Error  :Nosocketerror
14:50:55 : PLCDI Error  :Nosocketerror
14:50:56 : PLCDI Error  :Nosocketerror
14:50:57 : PLCDI Error  :Nosocketerror
14:50:58 : PLCDI Error  :Nosocketerror
14:50:59 : PLCDI Error  :Nosocketerror
14:51:00 : PLCDI Error  :Nosocketerror
14:51:01 : PLCDI Error  :Nosocketerror
14:51:02 : PLCDI Error  :Nosocketerror
14:51:03 : PLCDI Error  :Nosocketerror
14:51:04 : PLCDI Error  :Nosocketerror
14:51:05 : PLCDI Error  :Nosocketerror
14:51:06 : PLCDI Error  :Nosocketerror
14:51:07 : PLCDI Error  :Receivingerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
14:51:07 : PLCDI Error  :Transmissionerror
